# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cpu_atom/cycles/P'
# Event count (approx.): 17014286261
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                            IPC   [IPC Coverage]
# ........  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.25%  [.] _RNvNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13compositional12read_var_u32                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.25%  [k] filemap_get_read_batch                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.24%  [.] _RNvXNtNtCscI6d9CVNmLh_4core3str4iterNtB2_5CharsNtNtNtNtB6_4iter6traits8iterator8Iterator5count                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.20%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16eventsNtB5_26VerifiedSpoolShardReaderV111next_record                                                                                                                                                                                                                                                                                                                                   -      -            
     0.19%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB5_23ProductivePackageViewV112pool_payload                                                                                                                                                                                                                                                                                                                                     -      -            
     0.15%  [.] _RNvNtCs8BrB9QZrL48_4sha26sha25611compress256                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.15%  [.] _RNvMs4_NtCs40k4W9msRzi_5alloc7raw_vecNtB5_11RawVecInner15try_allocate_inCsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.14%  [.] __memset_avx2_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.14%  [.] _RNvMNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field6formatNtB2_6Cursor2u8                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.14%  [.] _RNvMs4_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16eventsNtB5_21CanonicalEventInputV16string                                                                                                                                                                                                                                                                                                                                              -      -            
     0.14%  [.] _RNvNtNtNtCsiTbic97zBM6_3lay8keyboard10text_input7ru_emit20char_to_ru_key_event                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.12%  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records27DirectionalResidualRecordV1EBe_                                                                                                                                                                                                                                                                                           -      -            
     0.12%  [.] _RNvXNtNtCscI6d9CVNmLh_4core4iter8adaptersINtB2_12GenericShuntINtNtB2_3map3MapINtNtNtB6_3ops5range5RangejENCNvMs_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v123anchor_recovery_packageNtB1M_27AnchorRecoveryPackageViewV119recover_anchor_into0EINtNtB6_6result6ResultNtNtB6_7convert10InfallibleNtNtCs40k4W9msRzi_5alloc6string6StringEENtNtNtB4_6traits8iterator8Iterator4nextB1U_                                                        -      -            
     0.12%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV19emit_real                                                                                                                                                                                                                                                                                                                                         -      -            
     0.11%  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_5types22LemmaParadigmBindingV1EBe_                                                                                                                                                                                                                                                                                                  -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
